date,end,kind,label,source
2026-06-12,,build,"Repository created; Binance collector starts recording","private history: first commit c6f1c9e; the collector start is logged in a private build diary"
2026-06-13,,review,"Adversarial checklist written and frozen, never edited again",".claude/agents/quant-reviewer.md (single commit a25741e)"
2026-07-01,,result,"Binance lines 1-6 closed; no edge for a slow trader","docs/LEDGER.md:23-40"
2026-07-05,,result,"Lighter LIT: +18.24 bps at 25 s, formally inconclusive","docs/PREREG_CONFIRMACION_LIT.md; docs/LEDGER.md:1681-1687"
2026-07-06,,review,"Attack letter names the through-with-at weakness","docs/testigos/CARTA_DE_ATAQUE.md:100-115 (added in commit 7e4da11)"
2026-07-06,2026-09-06,silence,"Ledger silent for two months, across 248 commits","docs/LEDGER.md:1820 and :1869"
2026-07-17,,build,"A transactional log for results begins; 59 commits, deleted 9 Sep","private history: eco_libro_tx.py, 7ff4822 to d15cf94, deleted in ac165b9; ARCHIVO.md:107"
2026-08-13,2026-08-22,outage,"Unpaid hosting bill: no capture from 13 Aug 08:57 to 22 Aug 20:15","docs/AUDITORIA_DEL_METODO.md:140"
2026-08-24,,review,"June checklist run on the finding: destroyed, 8 of 8","docs/AUDITORIA_QUANT_REVIEWER_2026-08-24.md:28,59"
2026-08-26,,incident,"Zero-price references found in the markout pipeline","docs/INCIDENTE_2026-08-26_REF_INVALIDA.md"
2026-09-07,,result,"79 days rebuilt from new data; 632 of 632 numbers match","docs/LEDGER.md:2249-2254"
2026-09-07,,decision,"Wider fill rule: +18.24 falls to +2.575; withdrawn","docs/DICTAMEN_MESA_2026-09-07_I5_D1_79.md:57,167-170"
2026-09-09,,decision,"Code cut to 5,933 lines on 8-9 Sep; closing ruling","docs/DICTAMEN_MESA_2026-09-09_V2_CIERRE.md:31-34"
